Rank,Name,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
188,Donkey Kong Country 2: Diddy's Kong Quest,Platform,2.1,0.74,2.2,0.11,5.15
189,Tomodachi Life,Simulation,0.96,2.02,1.89,0.28,5.15
190,Mario & Sonic at the Olympic Games,Sports,1.64,2.48,0.44,0.58,5.14
191,Medal of Honor: Rising Sun,Shooter,1.98,2.23,0.13,0.8,5.13
192,Kirby's Dream Land,Platform,2.71,0.61,1.7,0.11,5.13
193,Fable III,Role-Playing,3.59,1.11,0.05,0.38,5.13
194,Call of Duty: Advanced Warfare,Shooter,3.21,1.53,0.01,0.38,5.13
195,Microsoft Flight Simulator,Simulation,3.22,1.69,0,0.2,5.12
196,Guitar Hero II,Misc,3.81,0.63,0,0.68,5.12
197,Resident Evil 5,Action,1.96,1.43,1.08,0.65,5.11
198,Grand Theft Auto V,Action,2.66,2.01,0,0.41,5.08
199,Grand Theft Auto: Vice City Stories,Action,1.7,2.02,0.16,1.21,5.08
200,FIFA Soccer 11,Sports,0.6,3.29,0.06,1.13,5.08
201,Super Mario Bros.,Platform,3.4,1.3,0.15,0.22,5.07
202,Resident Evil,Action,2.05,1.16,1.11,0.73,5.05
203,Tony Hawk's Pro Skater,Sports,3.42,1.38,0.02,0.2,5.02
204,Super Smash Bros. for Wii U and 3DS,Fighting,2.59,1.06,0.8,0.57,5.02
205,Warzone 2100,Strategy,2.79,1.89,0,0.33,5.01
206,Spyro the Dragon,Platform,3.36,1.36,0.07,0.21,5
207,Link's Crossbow Training,Shooter,3.06,1.18,0.29,0.46,5
208,Guitar Hero III: Legends of Rock,Misc,3.49,0.01,0.01,1.48,4.98
209,Fallout 3,Role-Playing,3.39,1.03,0.09,0.44,4.96
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Role-Playing,1.85,1.2,1.54,0.37,4.96
211,Uncharted: Drake's Fortune,Action,2.31,1.73,0.12,0.78,4.94
212,Madden NFL 06,Sports,3.98,0.26,0.01,0.66,4.91
213,LEGO Star Wars: The Complete Saga,Action,2.89,1.54,0,0.46,4.9
214,Diddy Kong Racing,Racing,2.91,0.99,0.89,0.1,4.88
215,Monster Hunter Freedom 3,Role-Playing,0,0,4.87,0,4.87
216,Dr. Mario,Puzzle,2.62,0.6,1.52,0.1,4.85
217,God of War III,Action,2.74,1.36,0.12,0.63,4.84
218,StarCraft II: Wings of Liberty,Strategy,2.56,1.68,0,0.59,4.83
219,Assassin's Creed,Adventure,1.91,2,0.09,0.83,4.83
220,FIFA 15,Sports,0.57,3.14,0.04,1.07,4.82
221,Crash Team Racing,Racing,2.57,1.57,0.44,0.21,4.79
222,FIFA 17,Sports,0.28,3.75,0.06,0.69,4.77
223,Batman: Arkham City,Action,2.99,1.31,0.04,0.41,4.76
224,Driver 2,Action,2.36,2.1,0.02,0.25,4.73
225,The Simpsons: Hit & Run,Racing,1.73,2.19,0,0.79,4.7
226,Tony Hawk's Pro Skater 2,Sports,3.05,1.41,0.02,0.2,4.68
227,Animal Crossing: City Folk,Simulation,1.87,1.12,1.32,0.37,4.68
228,The Lord of the Rings: The Two Towers,Action,1.94,1.95,0.08,0.7,4.67
229,Forza Motorsport 4,Racing,2.08,2.04,0.06,0.47,4.64
230,Tomb Raider,Action,2.29,1.97,0.13,0.24,4.63
231,Guitar Hero III: Legends of Rock,Misc,3.06,1.12,0,0.44,4.62
232,The Legend of Zelda: A Link to the Past,Action,2.42,0.91,1.15,0.13,4.61
233,The Legend of Zelda: The Wind Waker,Action,2.6,0.99,0.89,0.13,4.6
234,Mario & Sonic at the Olympic Winter Games,Sports,1.89,1.99,0.22,0.48,4.58
235,Luigi's Mansion: Dark Moon,Action,1.78,1.39,1.1,0.3,4.58
236,Splatoon,Shooter,1.55,1.15,1.44,0.43,4.57
237,The Last of Us,Action,1.78,1.87,0.07,0.82,4.55
238,Guitar Hero III: Legends of Rock,Misc,3.19,0.92,0.01,0.42,4.53
239,Madden NFL 2005,Sports,4.18,0.26,0.01,0.08,4.53
240,Pitfall!,Platform,4.21,0.24,0,0.05,4.5
241,Madden NFL 07,Sports,3.63,0.24,0.01,0.61,4.49
242,Spider-Man: The Movie,Action,2.71,1.51,0.03,0.23,4.48
243,Dragon Quest VII: Warriors of Eden,Role-Playing,0.2,0.14,4.1,0.02,4.47
244,Uncharted: The Nathan Drake Collection,Action,1.96,1.69,0.08,0.74,4.47
245,Call of Duty: Advanced Warfare,Shooter,1.54,1.94,0.19,0.77,4.45
246,God of War,Action,2.71,1.29,0.02,0.43,4.45
247,Nintendo Land,Misc,2.55,1.11,0.46,0.33,4.44
248,Michael Jackson: The Experience,Misc,2.67,1.35,0.01,0.39,4.42
249,Tony Hawk's Pro Skater 3,Sports,2.66,1.29,0.01,0.46,4.41
250,Winning Eleven: Pro Evolution Soccer 2007,Sports,0.1,2.39,1.05,0.86,4.39
251,The Elder Scrolls IV: Oblivion,Role-Playing,2.82,1.05,0.13,0.4,4.39
252,Zelda II: The Adventure of Link,Adventure,2.19,0.5,1.61,0.08,4.38
253,Need for Speed: Most Wanted,Racing,2.03,1.79,0.08,0.47,4.37
254,Resistance: Fall of Man,Shooter,1.73,1.73,0.14,0.75,4.35
255,Sonic the Hedgehog,Platform,3.03,0.91,0.26,0.13,4.34
256,Kingdom Hearts II,Role-Playing,2.2,0.58,1.38,0.17,4.33
257,FIFA 14,Sports,0.92,2.93,0.01,0.46,4.31
258,Call of Duty: Advanced Warfare,Shooter,2.75,1.18,0,0.37,4.31
259,Asteroids,Shooter,4,0.26,0,0.05,4.31
260,Fable II,Role-Playing,2.51,1.27,0.11,0.41,4.31
